Website,Tags,Service Provider ,Created,Last Update,Credits
raw.githubusercontent.com,"Phishing,C&C,Download",Github,2021-11-10,2021-11-10,mr.d0x
github.com,"Phishing,Download",Github,2021-11-10,2021-11-10,mr.d0x
1drv.ms,Phishing,Microsoft,2021-11-10,2021-11-10,mr.d0x
1drv.com,"Phishing,Download",Microsoft,2021-11-10,2021-11-10,mr.d0x
docs.google.com,"Phishing,C&C",Google,2021-11-10,2021-11-10,mr.d0x
drive.google.com,"Phishing,Download,Exfiltration",Google,2021-11-10,2021-11-10,mr.d0x
*.azurewebsites.net,"Phishing,Download,Exfiltration,C&C",Microsoft,2021-11-10,2021-11-10,mr.d0x
dropbox.com,"Phishing,Download,Exfiltration,C&C",Dropbox,2021-11-10,2021-11-10,"mr.d0x,@EthanRobish"
mega.nz,"Phishing,Download,Exfiltration",Mega Limited,2021-11-10,2021-11-10,mr.d0x
pcloud.com,"Phishing,Download,Exfiltration",pCloud,2021-11-10,2021-11-10,mr.d0x
*.amazonaws.com,"Phishing,Download,Exfiltration,C&C",Amazon Web Services,2021-11-10,2021-11-10,mr.d0x
*.web.core.windows.net,"Phishing,Download,Exfiltration,C&C",Microsoft,2021-11-10,2021-11-10,mr.d0x
*.blob.core.windows.net,"Phishing,Download,Exfiltration",Microsoft,2021-11-10,2021-11-10,mr.d0x
*.box.com,"Phishing,Download,Exfiltration",Box,2021-11-10,2021-11-10,mr.d0x
sites.google.com,Phishing,Google,2021-11-10,2021-11-10,mr.d0x
*.cloudfront.net,"Phishing,C&C,Download",Amazon Web Services,2021-11-10,2021-11-10,mr.d0x
bitbucket.io,Phishing,Atlassian,2021-11-10,2021-11-10,mr.d0x
bitbucket.org,"Phishing,Download,Exfiltration,C&C",Atlassian,2021-11-10,2021-11-10,mr.d0x
firebasestorage.googleapis.com,"Phishing,Exfiltration,C&C,Download",Google,2021-11-10,2021-11-10,mr.d0x
storage.googleapis.com,"Phishing,Download,Exfiltration,C&C",Google,2021-11-10,2021-11-10,mr.d0x
*.herokuapp.com,"Phishing,Download,Exfiltration,C&C",Heroku,2021-11-10,2021-11-10,mr.d0x
*.zendesk.com,"Phishing,Download",Zendesk,2021-11-10,2021-11-10,mr.d0x
*.cloudwaysapps.com,"Phishing,Download,Exfiltration,C&C",Cloudways,2021-11-10,2021-11-10,mr.d0x
*.netlify.app,Phishing,Netlify,2021-11-10,2021-11-10,mr.d0x
*.cloudapp.azure.com,"Phishing,Download,Exfiltration,C&C",Microsoft,2021-11-10,2021-11-10,mr.d0x
*.cloudapp.net,"Phishing,Download,Exfiltration,C&C",Microsoft,2021-11-10,2021-11-10,mr.d0x
gitlab.com,"Phishing,Download",GitLab,2021-11-10,2021-11-10,mr.d0x
filetransfer.io,"Phishing,Download,Exfiltration",Filetransfer.io,2021-11-10,2021-11-10,mr.d0x
*.sendspace.com,"Phishing,Download,Exfiltration",Sendspace,2021-11-10,2021-11-10,mr.d0x
wetransfer.com,"Phishing,Download,Exfiltration",WeTransfer B.V,2021-11-10,2021-11-10,mr.d0x
cdn.fbsbx.com,Phishing,Facebook,2021-11-10,2021-11-10,mr.d0x
mediafire.com,"Phishing,Download,Exfiltration",Mediafire,2021-11-10,2021-11-10,mr.d0x
cdn.discordapp.com,"Phishing,Download",Discord,2021-11-10,2021-11-10,mr.d0x
*.workers.dev,"Phishing,Download,Exfiltration,C&C",Cloudflare,2021-11-10,2021-11-10,mr.d0x
slack-files.com,Phishing,Slack,2021-11-10,2021-11-10,mr.d0x
youtube.com,"Phishing,C&C",Google,2021-11-10,2021-11-10,"mr.d0x,Ashley Tran"
*.sharepoint.com,"Phishing,Download",Microsoft,2021-11-10,2021-11-10,"mr.d0x,@InfoSPECtre"
onedrive.live.com,Phishing,Microsoft,2021-11-10,2021-11-10,mr.d0x
app.milanote.com,Phishing,Milanote,2021-11-10,2021-11-10,mr.d0x
*.appspot.com,"Phishing,Download,C&C",Google,2021-11-10,2021-11-10,mr.d0x
*.wordpress.com,"Phishing,Download,C&C,Exfiltration",Wordpress Foundation,2021-11-10,2021-11-10,mr.d0x
*.azureedge.net,"Phishing,C&C",Microsoft,2021-11-10,2021-11-10,mr.d0x
